Table,Col/Measure,Report Name,Page Name,Selection Pane Name,QueryRefType,Data Element Count
,,Дебіторська заборгованість.pbix,Дебіторська заборгованість,"'Дебіторська заборгованість, станом на сьогодні'",Filter,1
,,Дебіторська заборгованість.pbix,Сторінка 1,'Дебіторка по клієнтах',Filter,2
,,Дебіторська заборгованість.pbix,ОРГ,'Дебіторка по клієнтах',Filter,2
Agreements,PaymentType,Дебіторська заборгованість.pbix,Дебіторка по періодах (історія),'Ф1/Ф2',Category,1
Agreements,PaymentType,Дебіторська заборгованість.pbix,Дебіторка по періодах (історія),'Ф1/Ф2',Filter,1
Agreements,PaymentType,Дебіторська заборгованість.pbix,протерм ДЗ,'Ф1/Ф2',Category,1
Agreements,PaymentType,Дебіторська заборгованість.pbix,протерм ДЗ,'Ф1/Ф2',Filter,1
Agreements,PaymentType,Дебіторська заборгованість.pbix,критична ДЗ іст,'Ф1/Ф2',Category,1
Agreements,PaymentType,Дебіторська заборгованість.pbix,критична ДЗ іст,'Ф1/Ф2',Filter,1
Agreements,PaymentType,Дебіторська заборгованість.pbix,ДЗ/ПДЗ (історія),'Ф1/Ф2',Category,1
Agreements,PaymentType,Дебіторська заборгованість.pbix,ДЗ/ПДЗ (історія),'Ф1/Ф2',Filter,1
Agreements,PaymentType,Дебіторська заборгованість.pbix,Календар ДЗ,'Ф1/Ф2',Category,1
Agreements,PaymentType,Дебіторська заборгованість.pbix,debt,'Загальна та Протермінована дебіторська заборгованість по Контрагентах',Rows,1
Agreements,PaymentType,Дебіторська заборгованість.pbix,Детал по док,48fd0fdb20c72d543436,Category,1
Agreements,PaymentType,Дебіторська заборгованість.pbix,Детал по док,48fd0fdb20c72d543436,Values,1
Agreements,PaymentType,Дебіторська заборгованість.pbix,Детал по док,'Загальна та Протермінована дебіторська заборгованість по Контрагентах',Rows,1
BUs,BU,Дебіторська заборгованість.pbix,debt,46d6bc645d34b976656a,Filter,1
BUsдляСвітлофора,BU_дляСвітлофора,Дебіторська заборгованість.pbix,Дебіторська заборгованість,"'Дебіторська заборгованість, станом на сьогодні'",Category,1
BUsдляСвітлофора,BU_дляСвітлофора,Дебіторська заборгованість.pbix,Дебіторська заборгованість,"'Дебіторська заборгованість, станом на сьогодні'",Series,1
Contractors,Name,Дебіторська заборгованість.pbix,стан дебіторки1,'Дебіторка по клієнтах',Rows,1
Contractors,Name,Дебіторська заборгованість.pbix,стан дебіторки1,'Контрагент',Values,1
Contractors,Name,Дебіторська заборгованість.pbix,Обертовість дебіторки,'Контрагент',Values,1
Contractors,Name,Дебіторська заборгованість.pbix,Стан дебіторки (по каналах збуту),'Аналіз протермінованої дебіторки по клієнтах',Category,1
Contractors,Name,Дебіторська заборгованість.pbix,Сторінка 1,'Дебіторка по клієнтах',Values,1
Contractors,Name,Дебіторська заборгованість.pbix,debt,'Загальна та Протермінована дебіторська заборгованість по Контрагентах',Rows,1
Contractors,Name,Дебіторська заборгованість.pbix,debt,'Пошук по Контрагенту',Category,1
Contractors,Name,Дебіторська заборгованість.pbix,Детал по док,'Загальна та Протермінована дебіторська заборгованість по Контрагентах',Rows,1
Contractors,Name,Дебіторська заборгованість.pbix,Детал по док,'Пошук по Контрагенту',Category,1
Debts,% Overdue Debt,Дебіторська заборгованість.pbix,debt,'Загальна та Протермінована дебіторська заборгованість по Контрагентах',Rows,1
Debts,% Overdue Debt,Дебіторська заборгованість.pbix,debt,'Загальна та Протермінована дебіторська заборгованість по Контрагентах',Values,1
Debts,% Overdue Debt,Дебіторська заборгованість.pbix,debt,'Загальна та Протермінована дебіторська заборгованість по Торгових агентах',Values,1
Debts,% Overdue Debt,Дебіторська заборгованість.pbix,Details,'Debt and OverdueDebt by Contractors',Values,3
Debts,% дебіторки від обороту,Дебіторська заборгованість.pbix,стан дебіторки1,'Дебіторка по підрозділах і торгових представниках',Rows,1
Debts,% дебіторки від обороту,Дебіторська заборгованість.pbix,стан дебіторки1,'Дебіторка по підрозділах і торгових представниках',Values,1
Debts,% дебіторки від обороту,Дебіторська заборгованість.pbix,Стан дебіторки (по каналах збуту),'Дебіторка по каналах збуту та видах ТРТ',Rows,1
Debts,% дебіторки від обороту,Дебіторська заборгованість.pbix,Стан дебіторки (по каналах збуту),'Дебіторка по каналах збуту та видах ТРТ',Values,1
Debts,Date,Дебіторська заборгованість.pbix,стан дебіторки1,'Дата',Values,1
Debts,Date,Дебіторська заборгованість.pbix,стан дебіторки1,'Дебіторка на дату',Values,1
Debts,Date,Дебіторська заборгованість.pbix,Стан дебіторки (по каналах збуту),'Дата',Values,1
Debts,Date,Дебіторська заборгованість.pbix,Стан дебіторки (по каналах збуту),'Дебіторка на дату',Values,1
Debts,Date,Дебіторська заборгованість.pbix,Дебіторка по періодах (історія),690869fba5eba301b634,Columns,1
Debts,Date,Дебіторська заборгованість.pbix,Дебіторка по періодах (історія),690869fba5eba301b634,Values,1
Debts,Date,Дебіторська заборгованість.pbix,протерм ДЗ,690869fba5eba301b634,Columns,1
Debts,Date,Дебіторська заборгованість.pbix,протерм ДЗ,690869fba5eba301b634,Values,1
Debts,Date,Дебіторська заборгованість.pbix,критична ДЗ іст,690869fba5eba301b634,Columns,1
Debts,Date,Дебіторська заборгованість.pbix,критична ДЗ іст,690869fba5eba301b634,Values,1
Debts,Date,Дебіторська заборгованість.pbix,ДЗ/ПДЗ (історія),690869fba5eba301b634,Columns,1
Debts,Date,Дебіторська заборгованість.pbix,ДЗ/ПДЗ (історія),690869fba5eba301b634,Values,1
Debts,Date,Дебіторська заборгованість.pbix,Календар ДЗ,'Загальна дебіторська заборгованість',Category,1
Debts,Date,Дебіторська заборгованість.pbix,Календар ДЗ,'Протермінована дебіторська заборгованість',Category,1
Debts,Date,Дебіторська заборгованість.pbix,debt,3263157c860093ae4efb,Filter,1
Debts,Date,Дебіторська заборгованість.pbix,debt,3263157c860093ae4efb,Values,1
Debts,Date,Дебіторська заборгованість.pbix,debt,'Протермінована дебіторська заборгованість у поточному місяці',Category,1
Debts,Date,Дебіторська заборгованість.pbix,debt,'Протермінована дебіторська заборгованість у поточному місяці',Filter,1
Debts,Date,Дебіторська заборгованість.pbix,Детал по док,7bc0b1ee58b206977962,Filter,1
Debts,Date,Дебіторська заборгованість.pbix,Детал по док,7bc0b1ee58b206977962,Values,1
Debts,DateOfpayment,Дебіторська заборгованість.pbix,Details,1c0225059dd8a5220e49,Values,1
Debts,DateOfpayment,Дебіторська заборгованість.pbix,Details,'Debt and OverdueDebt by Contractors',Values,1
Debts,DateOfpayment,Дебіторська заборгованість.pbix,Детал по док,'Загальна та Протермінована дебіторська заборгованість по Контрагентах',Rows,1
Debts,DaysExpedited,Дебіторська заборгованість.pbix,Details,'Debt and OverdueDebt by Contractors',Values,1
Debts,DaysExpedited,Дебіторська заборгованість.pbix,Детал по док,'Загальна та Протермінована дебіторська заборгованість по Контрагентах',Rows,1
Debts,DaysExpedited,Дебіторська заборгованість.pbix,Детал по док,'Загальна та Протермінована дебіторська заборгованість по Контрагентах',Values,1
Debts,DaysOfDelayCurrent,Дебіторська заборгованість.pbix,Детал по док,'Загальна та Протермінована дебіторська заборгованість по Контрагентах',Rows,1
Debts,Debt,Дебіторська заборгованість.pbix,стан дебіторки1,99603d064550c745ea10,Category,1
Debts,Debt,Дебіторська заборгованість.pbix,стан дебіторки1,99603d064550c745ea10,Values,1
Debts,Debt,Дебіторська заборгованість.pbix,стан дебіторки1,9e0cda6db3969aa8cc5e,Values,1
Debts,Debt,Дебіторська заборгованість.pbix,стан дебіторки1,a66c55c50e791103a6a5,Values,1
Debts,Debt,Дебіторська заборгованість.pbix,Обертовість дебіторки,26797f64298687a58070,Values,1
Debts,Debt,Дебіторська заборгованість.pbix,Обертовість дебіторки,3dbb00257d7031076400,Values,1
Debts,Debt,Дебіторська заборгованість.pbix,Обертовість дебіторки,99603d064550c745ea10,Category,1
Debts,Debt,Дебіторська заборгованість.pbix,Обертовість дебіторки,99603d064550c745ea10,Values,1
Debts,Debt,Дебіторська заборгованість.pbix,Обертовість дебіторки,9e0cda6db3969aa8cc5e,Values,1
Debts,Debt,Дебіторська заборгованість.pbix,Обертовість дебіторки,a66c55c50e791103a6a5,Category,1
Debts,Debt,Дебіторська заборгованість.pbix,Обертовість дебіторки,a66c55c50e791103a6a5,Values,1
Debts,Debt,Дебіторська заборгованість.pbix,Стан дебіторки (по каналах збуту),4bc6ac67012752079618,Category,1
Debts,Debt,Дебіторська заборгованість.pbix,Стан дебіторки (по каналах збуту),4bc6ac67012752079618,Values,1
Debts,Debt,Дебіторська заборгованість.pbix,Стан дебіторки (по каналах збуту),a66c55c50e791103a6a5,Category,1
Debts,Debt,Дебіторська заборгованість.pbix,Стан дебіторки (по каналах збуту),a66c55c50e791103a6a5,Values,1
Debts,Debt,Дебіторська заборгованість.pbix,Стан дебіторки (по каналах збуту),dc237294ee537e0461c1,Values,1
Debts,Debt,Дебіторська заборгованість.pbix,Дебіторка по періодах (історія),aa5e652207eae55eb000,Category,1
Debts,Debt,Дебіторська заборгованість.pbix,Дебіторка по періодах (історія),aa5e652207eae55eb000,Values,1
Debts,Debt,Дебіторська заборгованість.pbix,Дебіторка по періодах (історія),'Ф1/Ф2',Category,1
Debts,Debt,Дебіторська заборгованість.pbix,Дебіторка по періодах (історія),'Ф1/Ф2',Values,1
Debts,Debt,Дебіторська заборгованість.pbix,протерм ДЗ,aa5e652207eae55eb000,Category,1
Debts,Debt,Дебіторська заборгованість.pbix,протерм ДЗ,aa5e652207eae55eb000,Values,1
Debts,Debt,Дебіторська заборгованість.pbix,протерм ДЗ,'Ф1/Ф2',Category,1
Debts,Debt,Дебіторська заборгованість.pbix,протерм ДЗ,'Ф1/Ф2',Values,1
Debts,Debt,Дебіторська заборгованість.pbix,критична ДЗ іст,aa5e652207eae55eb000,Category,1
Debts,Debt,Дебіторська заборгованість.pbix,критична ДЗ іст,aa5e652207eae55eb000,Values,1
Debts,Debt,Дебіторська заборгованість.pbix,критична ДЗ іст,'Ф1/Ф2',Category,1
Debts,Debt,Дебіторська заборгованість.pbix,критична ДЗ іст,'Ф1/Ф2',Values,1
Debts,Debt,Дебіторська заборгованість.pbix,ДЗ/ПДЗ (історія),aa5e652207eae55eb000,Category,1
Debts,Debt,Дебіторська заборгованість.pbix,ДЗ/ПДЗ (історія),aa5e652207eae55eb000,Values,1
Debts,Debt,Дебіторська заборгованість.pbix,ДЗ/ПДЗ (історія),'Ф1/Ф2',Category,1
Debts,Debt,Дебіторська заборгованість.pbix,ДЗ/ПДЗ (історія),'Ф1/Ф2',Values,1
Debts,Debt,Дебіторська заборгованість.pbix,Календар ДЗ,1e5fb4606cb881889004,Category,1
Debts,Debt,Дебіторська заборгованість.pbix,Календар ДЗ,1e5fb4606cb881889004,Values,1
