Table,Col/Measure,Report Name,Page Name,Selection Pane Name,QueryRefType,Data Element Count
GoogleReview,Comment,000000.pbix,Сторінка 1,8f3356ae4ad1702d9601,Values,1
GoogleReview,CreateTime,000000.pbix,Сторінка 1,8f3356ae4ad1702d9601,Values,1
GoogleReview,LocationAddress,000000.pbix,Сторінка 1,8f3356ae4ad1702d9601,Values,1
GoogleReview,LocationId,000000.pbix,Сторінка 1,8f3356ae4ad1702d9601,Values,1
GoogleReview,Name,000000.pbix,Сторінка 1,8f3356ae4ad1702d9601,Values,1
GoogleReview,pageNumber,000000.pbix,Сторінка 1,8f3356ae4ad1702d9601,Values,1
GoogleReview,ReviewComment,000000.pbix,Сторінка 1,8f3356ae4ad1702d9601,Values,1
GoogleReview,ReviewCommentUpdateTime,000000.pbix,Сторінка 1,8f3356ae4ad1702d9601,Values,1
GoogleReview,ReviewerName,000000.pbix,Сторінка 1,8f3356ae4ad1702d9601,Values,1
GoogleReview,ReviewerProfilePhotoUrl,000000.pbix,Сторінка 1,8f3356ae4ad1702d9601,Values,1
GoogleReview,ReviewId,000000.pbix,Сторінка 1,8f3356ae4ad1702d9601,Values,1
GoogleReview,StarRating,000000.pbix,Сторінка 1,8f3356ae4ad1702d9601,Values,1
GoogleReview,Tab,000000.pbix,Сторінка 1,8f3356ae4ad1702d9601,Values,1
GoogleReview,UpdateTime,000000.pbix,Сторінка 1,8f3356ae4ad1702d9601,Values,1
