Table,Col/Measure,Report Name,Page Name,Selection Pane Name,QueryRefType,Data Element Count
,,Виконання планів продажу Mars.pbix,Mars,"'Продажі за поточний рік, грн з ПДВ'",Filter,1
[Role,Columns],Виконання планів продажу Mars.pbix,Продажі по типах складів,'ГРН',Rows,2
[Role,Columns],Виконання планів продажу Mars.pbix,Продажі по типах складів,'ГРН',Values,2
[Role,Columns],Виконання планів продажу Mars.pbix,TOП Клієнтів по ТА,0021eacc0d223e7470c9,Rows,2
[Role,Columns],Виконання планів продажу Mars.pbix,TOП Клієнтів по ТА,0021eacc0d223e7470c9,Values,2
[Role,Columns],Виконання планів продажу Mars.pbix,TOП Клієнтів по ТА,bece3aa81fff63dfcf4b,Rows,2
[Role,Columns],Виконання планів продажу Mars.pbix,TOП Клієнтів по ТА,bece3aa81fff63dfcf4b,Values,2
[Role,Columns],Виконання планів продажу Mars.pbix,TOП SKU по ТА,0021eacc0d223e7470c9,Rows,2
[Role,Columns],Виконання планів продажу Mars.pbix,TOП SKU по ТА,0021eacc0d223e7470c9,Values,2
[Role,Columns],Виконання планів продажу Mars.pbix,TOП SKU по ТА,bece3aa81fff63dfcf4b,Rows,2
[Role,Columns],Виконання планів продажу Mars.pbix,TOП SKU по ТА,bece3aa81fff63dfcf4b,Values,2
Contractors,Name,Виконання планів продажу Mars.pbix,TOП Клієнтів по ТА,0021eacc0d223e7470c9,Rows,1
Contractors,Name,Виконання планів продажу Mars.pbix,TOП Клієнтів по ТА,32f1336495eeee9381cd,Filter,1
Contractors,Name,Виконання планів продажу Mars.pbix,TOП Клієнтів по ТА,32f1336495eeee9381cd,Values,1
Contractors,Name,Виконання планів продажу Mars.pbix,TOП Клієнтів по ТА,bece3aa81fff63dfcf4b,Rows,1
DeliveryAddresses,Name,Виконання планів продажу Mars.pbix,TOП Клієнтів по ТА,0021eacc0d223e7470c9,Rows,1
DimDates,DateNormal,Виконання планів продажу Mars.pbix,Mars,"'Продажі за поточний рік, грн з ПДВ'",Filter1,1
DimDates,DateNormal,Виконання планів продажу Mars.pbix,Виконання планів продажу Mars,617daf469a9ed9a8b76f,Filter97e12f5d88399a106a20,1
DimDates,DateNormal,Виконання планів продажу Mars.pbix,Продажі в кг,617daf469a9ed9a8b76f,Filter97e12f5d88399a106a20,1
DimDates,DateNormal,Виконання планів продажу Mars.pbix,АКБ,617daf469a9ed9a8b76f,Filter97e12f5d88399a106a20,1
DimDates,DateNormal,Виконання планів продажу Mars.pbix,Залишки ВЕН,617daf469a9ed9a8b76f,Filter97e12f5d88399a106a20,1
DimDates,DateNormal,Виконання планів продажу Mars.pbix,Продажі по типах складів,617daf469a9ed9a8b76f,Filter97e12f5d88399a106a20,1
DimDates,DateNormal,Виконання планів продажу Mars.pbix,TOП Клієнтів по ТА,617daf469a9ed9a8b76f,Filter97e12f5d88399a106a20,1
DimDates,DateNormal,Виконання планів продажу Mars.pbix,TOП SKU по ТА,617daf469a9ed9a8b76f,Filter97e12f5d88399a106a20,1
DimDates,MarsPeriod,Виконання планів продажу Mars.pbix,Виконання планів продажу Mars,10119f8d600dddda5c4e,Category,1
DimDates,MarsPeriod,Виконання планів продажу Mars.pbix,Продажі в кг,10119f8d600dddda5c4e,Category,1
DimDates,MarsPeriod,Виконання планів продажу Mars.pbix,АКБ,10119f8d600dddda5c4e,Category,1
DimDates,MarsPeriod,Виконання планів продажу Mars.pbix,Залишки ВЕН,10119f8d600dddda5c4e,Category,1
DimDates,MarsPeriod,Виконання планів продажу Mars.pbix,Продажі по типах складів,7e5fa9d0d8b4110a9041,Category,1
DimDates,MarsPeriod,Виконання планів продажу Mars.pbix,TOП Клієнтів по ТА,10119f8d600dddda5c4e,Category,1
DimDates,MarsPeriod,Виконання планів продажу Mars.pbix,TOП SKU по ТА,10119f8d600dddda5c4e,Category,1
DimDates,MarsPeriodYear,Виконання планів продажу Mars.pbix,Виконання планів продажу Mars,617daf469a9ed9a8b76f,Category,1
DimDates,MarsPeriodYear,Виконання планів продажу Mars.pbix,Продажі в кг,617daf469a9ed9a8b76f,Category,1
