Table,Col/Measure,Report Name,Page Name,Selection Pane Name,QueryRefType,Data Element Count
,,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,'Залишки (поденно)',Filter,1
,,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Аналіз виконання плану закупок в розрізі постачальників',Filter,3
,,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Закупки помісячно',Filter,2
Agents,Торгові представники,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,'Обертовість залишків по контраках',Filter,1
Agents,Торгові представники,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,'Обертовість залишків по складах',Filter,1
Agents,Торгові представники,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Виконання планів закупки',Filter,1
Clients,Клієнти,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,'Аналіз залишків в розрізі постачальників',Filter,1
Clients,Клієнти,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,'Аналіз залишків по товару',Filter,1
Clients,Клієнти,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,'Обертовість залишків по контраках',Filter,1
Clients,Клієнти,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,'Обертовість залишків по контраках',Filter2,1
Clients,Клієнти,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,'Аналіз залишків по складах',Filter,1
Clients,Клієнти,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,'Обертовість залишків по складах',Filter,1
Clients,Клієнти,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,'Обертовість залишків по складах',Filter2,1
Clients,Клієнти,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Аналіз виконання плану закупок в розрізі постачальників',Filter,1
Clients,Клієнти,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Виконання планів закупки',Filter,1
Clients,Клієнти,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Виконання планів закупки',Filter2,1
Clients,Клієнти,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Закупки помісячно',Filter,1
Debts,Action,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,'Обертовість залишків по контраках',Filter1,1
Debts,Action,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,'Обертовість залишків по складах',Filter1,1
Debts,Action,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Виконання планів закупки',Filter1,1
DimDates,Date,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,'Залишки (поденно)',Columns,1
DimDates,Date,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,'Залишки (поденно)',Filter,1
DimDates,Date,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,'Залишки (поденно)',Rows,1
DimDates,Date,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,'Залишки (поденно)',Values,1
DimDates,DateHierarchy.Місяць,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,4c1a78756300423d1755,Values,1
DimDates,DateHierarchy.Рік,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,f2347c2a975ece7ca9cd,Values,1
DimDates,Місяць,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,'Залишки (поденно)',Rows,1
DimDates,Місяць,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,'Залишки (поденно)',Values,1
DimDates,Місяць,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Закупки помісячно',Filter,1
DimDates,Період,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Закупки помісячно',Category,1
DimDates,Період,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Закупки помісячно',Filter,1
DimDates,Період,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Закупки помісячно',Tooltips,1
Organizations,Організації,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,569e45660eb431e46220,Values,1
PlaneOfIn,Сума план закупки (без ПДВ,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Виконання планів закупки',Rows,1
PlaneOfIn,Сума план закупки (без ПДВ,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Виконання планів закупки',Values,1
PlanZak,Сума плану закупки (без ПДВ,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Аналіз виконання плану закупок в розрізі постачальників',Category,1
PlanZak,Сума плану закупки (без ПДВ,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Аналіз виконання плану закупок в розрізі постачальників',Y,1
Products,Товари,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,'Аналіз залишків по товару',Category,1
Products,Товари,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,'Аналіз залишків по товару',Y,1
Products,Товари,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,'Обертовість залишків по контраках',Rows,1
Projects,ContractNon,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,'Аналіз залишків в розрізі постачальників',Category,1
Projects,ContractNon,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Аналіз виконання плану закупок в розрізі постачальників',Category,1
Projects,Бренди,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,44bd3d62079c57d14390,Values,1
Projects,Контракт,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,43221bbcdae198e0716e,Values,1
Projects,Контракт,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,'Обертовість залишків по контраках',Rows,1
Projects,Контракт,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,558fd232c76904004170,Values,1
Projects,Контракт,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,'Обертовість залишків по складах',Rows,1
Projects,Контракт,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,f6f0a5862e5e2182dc0b,Values,1
Projects,Контракт,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Аналіз виконання плану закупок в розрізі постачальників',Filter1,1
Projects,Контракт,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Виконання планів закупки',Rows,1
Projects,Контракт,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Закупки помісячно',Filter1,1
Sales,Продажі по с/в без ПДВ (ост 30 днів,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,'Аналіз залишків в розрізі постачальників',Category,1
Sales,Продажі по с/в без ПДВ (ост 30 днів,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,'Аналіз залишків в розрізі постачальників',Y2,1
Sales,Продажі по с/в без ПДВ (ост 30 днів,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,'Обертовість залишків по контраках',Rows,1
Sales,Продажі по с/в без ПДВ (ост 30 днів,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,'Обертовість залишків по контраках',Values,1
Sales,Продажі по с/в без ПДВ (ост 30 днів,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,'Обертовість залишків по складах',Rows,1
Sales,Продажі по с/в без ПДВ (ост 30 днів,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,'Обертовість залишків по складах',Values,1
SalesDet,% виконання плану продажу,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Закупки помісячно',Tooltips,1
SalesDet,Period,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,'Продажі за період',Values,1
SalesDet,Period,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,'Продажі за період',Values,1
Stocks,DateNormal,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,'Дата',Values,1
Stocks,DateNormal,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,'Залишки на дату',Values,1
Stocks,DateNormal,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,'Дата',Values,1
Stocks,DateNormal,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,'Залишки на дату',Values,1
Stocks,Обертовість залишків (дні,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,'Обертовість залишків по контраках',Rows,1
Stocks,Обертовість залишків (дні,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,'Обертовість залишків по контраках',Values,1
Stocks,Обертовість залишків (дні,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,'Обертовість залишків по складах',Rows,1
Stocks,Обертовість залишків (дні,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,'Обертовість залишків по складах',Values,1
Stocks,Середньоденна сума залишків,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,1e7baf09db93b20c7ea3,Values,1
Stocks,Середньоденна сума залишків,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,e522a2362c3bb12c2014,Values,1
Stocks,Сума залишків (грн без ПДВ,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,'Аналіз залишків в розрізі постачальників',Category,1
Stocks,Сума залишків (грн без ПДВ,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,'Аналіз залишків в розрізі постачальників',Y,1
Stocks,Сума залишків (грн без ПДВ,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,'Аналіз залишків в розрізі постачальників',Y2,1
Stocks,Сума залишків (грн без ПДВ,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,'Аналіз залишків по товару',Y,1
Stocks,Сума залишків (грн без ПДВ,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,'Обертовість залишків по контраках',Rows,1
Stocks,Сума залишків (грн без ПДВ,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,'Обертовість залишків по контраках',Values,1
Stocks,Сума залишків (грн без ПДВ,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,'Аналіз залишків по складах',Y,1
Stocks,Сума залишків (грн без ПДВ,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,'Залишки (поденно)',Values,1
Stocks,Сума залишків (грн без ПДВ,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,'Обертовість залишків по складах',Rows,1
Stocks,Сума залишків (грн без ПДВ,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,'Обертовість залишків по складах',Values,1
Teritories,Підрозділи,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,188d4fe933016e384904,Values,1
Teritories,Підрозділи,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,5ed9c64371e766190240,Values,1
Teritories,Підрозділи,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,9ad30261bd959809ae39,Values,1
Teritories,Підрозділи,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Аналіз виконання плану закупок в розрізі постачальників',Filter,1
Warehouses,Склади,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,f793e3858458206ae105,Values,1
Warehouses,Склади,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,3a10fe3cc3a0b4905aad,Values,1
Warehouses,Склади,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,'Аналіз залишків по складах',Category,1
Warehouses,Склади,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,'Аналіз залишків по складах',Y,1
Warehouses,Склади,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,'Обертовість залишків по складах',Rows,1
Warehouses,Склади,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,adee2ebd0ae216674497,Values,1
Warehouses,Типи Складів (для закупки+залишки,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по контрактах,ff429268cd906a0332a3,Values,1
Warehouses,Типи Складів (для закупки+залишки,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Залишки по складах,3781bd85233c91077195,Values,1
Warehouses,Типи Складів (для закупки+залишки,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,cf18dd25cce52dcca108,Values,1
Zakupki,ТипПриходу,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Тип приходу',Values,1
ZakupkiDet,% виконання плану закупки,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Аналіз виконання плану закупок в розрізі постачальників',Category,1
ZakupkiDet,% виконання плану закупки,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Аналіз виконання плану закупок в розрізі постачальників',Tooltips,1
ZakupkiDet,% виконання плану закупки,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Аналіз виконання плану закупок в розрізі постачальників',Y,1
ZakupkiDet,% виконання плану закупки,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Аналіз виконання плану закупок в розрізі постачальників',Y2,1
ZakupkiDet,% виконання плану закупки,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Виконання планів закупки',Rows,1
ZakupkiDet,% виконання плану закупки,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Виконання планів закупки',Values,1
ZakupkiDet,Середньоденна закупка,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,89c21b3b473c0ae6e702,Values,1
ZakupkiDet,Сума закупки (без ПДВ,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Аналіз виконання плану закупок в розрізі постачальників',Category,1
ZakupkiDet,Сума закупки (без ПДВ,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Аналіз виконання плану закупок в розрізі постачальників',Y,1
ZakupkiDet,Сума закупки (без ПДВ,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Виконання планів закупки',Rows,1
ZakupkiDet,Сума закупки (без ПДВ,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Виконання планів закупки',Values,1
ZakupkiDet,Сума закупки (без ПДВ,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Закупки помісячно',Category,1
ZakupkiDet,Сума закупки (без ПДВ,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Закупки помісячно',Tooltips,1
ZakupkiDet,Сума закупки (без ПДВ,Залишки + закупки аналітика ТЕМА-комерс (для регіону).pbix,Аналіз закупок,'Закупки помісячно',Y,1
