Table,Col/Measure,ReportName,Page Name,name,Page Filter Count
,,Виконання планів продаж НФ.pbix,Виконання плану по днях,Filterb6c0a03e08fc570d9112,1
,,Виконання планів продаж НФ.pbix,Виконання МІКС,Filterda75095a1720d1ae8826,1
Agents,Торгові представники,Виконання планів продаж НФ.pbix,Виконання плану по днях,Filter,1
Agents,Торгові представники,Виконання планів продаж НФ.pbix,Виконання плану Контракт,Filter,1
Agents,Торгові представники,Виконання планів продаж НФ.pbix,Виконання плану Регіон,Filter,1
Agents,Торгові представники,Виконання планів продаж НФ.pbix,історія продаж,Filter,1
Agents,Торгові представники,Виконання планів продаж НФ.pbix,Виконання МІКС,Filter,1
Agents,Торгові представники,Виконання планів продаж НФ.pbix,"маржа, націнка",Filter,1
Agents,Торгові представники,Виконання планів продаж НФ.pbix,матриця постачання по територіях,Filter,1
Comands,Команди,Виконання планів продаж НФ.pbix,Виконання МІКС,Filter951a4337a940763cc077,1
DimDates,DayName,Виконання планів продаж НФ.pbix,Виконання плану по днях,Filter0bb56e4f00362974a7eb,1
