Table,Col/Measure,Report Name,Page Name,Selection Pane Name,QueryRefType,Data Element Count
,,Залишки та закупки.pbix,Залишки в періоді,'Залишки контракт (помісячно)',Filter,1
,,Залишки та закупки.pbix,Залишки в періоді,'Залишки регіон (помісячно)',Filter,2
,,Залишки та закупки.pbix,Залишки по контрактах,'Залишки на поч. місяця',Filter0bef8a520857e18e9a7b,1
,,Залишки та закупки.pbix,Залишки по контрактах,'Залишки на поч. місяця',Filtera88c97304d01bd8797b4,1
,,Залишки та закупки.pbix,Обертовість залишків по контрактах,'Обертовість залишків по контрактах',Filter,3
,,Залишки та закупки.pbix,Аналіз закупок,'Аналіз виконання плану закупок по регіонах',Filter,3
,,Залишки та закупки.pbix,Аналіз закупок,'Закупки помісячно',Filter,2
Agents,Торгові представники,Залишки та закупки.pbix,Залишки по контрактах,'Залишки на поч. місяця',Filter,1
Agents,Торгові представники,Залишки та закупки.pbix,Залишки по контрактах,'Обертовість залишків по контрактах',Filter,1
Agents,Торгові представники,Залишки та закупки.pbix,Залишки по регіонах,'Обертовість залишків по регіонах',Filter,1
Agents,Торгові представники,Залишки та закупки.pbix,Обертовість залишків по контрактах,'Обертовість залишків по контрактах',Filter,1
Agents,Торгові представники,Залишки та закупки.pbix,Залишки по категоріях,'Залишки по категоріях товарів',Filter,1
Agents,Торгові представники,Залишки та закупки.pbix,Аналіз закупок,'Виконання планів закупки',Filter,1
Agents,Торгові представники,Залишки та закупки.pbix,Залишки поденно,'Поденна динаміка залишків по регіонах',Filter,1
Agents,Торгові представники,Залишки та закупки.pbix,"Повтор розділу ""Залишки по номенклатурі""",'Обертовість залишків по контрактах',Filter,1
Clients,Клієнти,Залишки та закупки.pbix,Залишки по контрактах,'Аналіз залишків по товару',Filter,1
Clients,Клієнти,Залишки та закупки.pbix,Залишки по контрактах,'Залишки на поч. місяця',Filter2,1
Clients,Клієнти,Залишки та закупки.pbix,Залишки по контрактах,'Обертовість залишків по контрактах',Filter,1
Clients,Клієнти,Залишки та закупки.pbix,Залишки по контрактах,'Обертовість залишків по контрактах',Filter2,1
Clients,Клієнти,Залишки та закупки.pbix,Залишки по регіонах,'Аналіз залишків по регіонах',Filter,1
Clients,Клієнти,Залишки та закупки.pbix,Залишки по регіонах,'Аналіз залишків по складах',Filter,1
Clients,Клієнти,Залишки та закупки.pbix,Залишки по регіонах,'Обертовість залишків по регіонах',Filter,1
Clients,Клієнти,Залишки та закупки.pbix,Залишки по регіонах,'Обертовість залишків по регіонах',Filter2,1
Clients,Клієнти,Залишки та закупки.pbix,Обертовість залишків по контрактах,'Обертовість залишків по контрактах',Filter,1
Clients,Клієнти,Залишки та закупки.pbix,Обертовість залишків по контрактах,'Обертовість залишків по контрактах',Filter2,1
Clients,Клієнти,Залишки та закупки.pbix,Залишки по категоріях,'Залишки по категоріях товарів',Filter,1
Clients,Клієнти,Залишки та закупки.pbix,Залишки по категоріях,'Залишки по категоріях товарів',Filter2,1
Clients,Клієнти,Залишки та закупки.pbix,Аналіз закупок,'Аналіз виконання плану закупок по регіонах',Filter,1
Clients,Клієнти,Залишки та закупки.pbix,Аналіз закупок,'Виконання планів закупки',Filter,1
Clients,Клієнти,Залишки та закупки.pbix,Аналіз закупок,'Виконання планів закупки',Filter2,1
