Table,Col/Measure,Report Name,Page Name,Selection Pane Name,QueryRefType,Data Element Count
_ABC_Classes,_ABC_SalesAmount,ABC.pbix,Сторінка 1,58ea2393cd314f9a04ee,Rows,1
_ABC_Classes,_ABC_SalesAmount,ABC.pbix,Сторінка 1,58ea2393cd314f9a04ee,Values,1
_ABC_Classes,_ABC_SalesAmount,ABC.pbix,Сторінка 1,9bcc165a61edbe2d3840,Rows,1
_ABC_Classes,_ABC_SalesAmount,ABC.pbix,Сторінка 1,9bcc165a61edbe2d3840,Values,1
_ABC_Classes,_ABC_SalesAmount,ABC.pbix,Сторінка 1,'ABC-продажі',Series,1
_ABC_Classes,_ABC_SalesAmount,ABC.pbix,Сторінка 1,'ABC-продажі',Y,1
_ABC_Classes,_ABC_SalesAmount,ABC.pbix,Сторінка 1,b4b5c0dd89116c6c38a1,Values,1
_ABC_Classes,_ABC_Stock_Amount,ABC.pbix,Сторінка 1,b4b5c0dd89116c6c38a1,Values,1
_ABC_Classes,_ABC_Stock_Rotation,ABC.pbix,Сторінка 1,9bcc165a61edbe2d3840,Rows,1
_ABC_Classes,_ABC_Stock_Rotation,ABC.pbix,Сторінка 1,9bcc165a61edbe2d3840,Values,1
_ABC_Classes,_ABC_StockSum,ABC.pbix,Сторінка 1,58ea2393cd314f9a04ee,Rows,1
_ABC_Classes,_ABC_StockSum,ABC.pbix,Сторінка 1,58ea2393cd314f9a04ee,Values,1
_ABC_Classes,_ABC_StockSum,ABC.pbix,Сторінка 1,9bcc165a61edbe2d3840,Rows,1
_ABC_Classes,_ABC_StockSum,ABC.pbix,Сторінка 1,9bcc165a61edbe2d3840,Values,1
_ABC_Classes,_ABC_StockSum,ABC.pbix,Сторінка 1,9c2ca8609d2ba888574a,Y,1
_ABC_Classes,_ABC_StockSum,ABC.pbix,Сторінка 1,'ABC-залишки',Series,1
_ABC_Classes,_ABC_StockSum,ABC.pbix,Сторінка 1,'ABC-залишки',Y,1
_ABC_Classes,_ABC_StockSum,ABC.pbix,Сторінка 1,b4b5c0dd89116c6c38a1,Values,1
_ABC_Classes,ABC,ABC.pbix,Сторінка 1,58ea2393cd314f9a04ee,Columns,1
_ABC_Classes,ABC,ABC.pbix,Сторінка 1,58ea2393cd314f9a04ee,Rows,1
_ABC_Classes,ABC,ABC.pbix,Сторінка 1,58ea2393cd314f9a04ee,Values,1
_ABC_Classes,ABC,ABC.pbix,Сторінка 1,9bcc165a61edbe2d3840,Rows,1
_ABC_Classes,ABC,ABC.pbix,Сторінка 1,9c2ca8609d2ba888574a,Category,1
_ABC_Classes,ABC,ABC.pbix,Сторінка 1,9c2ca8609d2ba888574a,Series,1
_ABC_Classes,ABC,ABC.pbix,Сторінка 1,9c2ca8609d2ba888574a,Y,1
_ABC_Classes,ABC,ABC.pbix,Сторінка 1,'ABC-залишки',Series,1
_ABC_Classes,ABC,ABC.pbix,Сторінка 1,'ABC-продажі',Series,1
_ABC_Classes,ABC,ABC.pbix,Сторінка 1,b4b5c0dd89116c6c38a1,Values,1
_ABC_Classes,ABC,ABC.pbix,Сторінка 1,c5f8e55f5e603181f17d,Values,1
Brands,Name,ABC.pbix,Сторінка 1,2c6d862fe32d26becf90,Values,1
DimDates,DateNormal,ABC.pbix,Сторінка 1,58ea2393cd314f9a04ee,Rows,1
DimDates,DateNormal,ABC.pbix,Сторінка 1,67d8527e72270cd53e48,Values,1
DimDates,DateNormal,ABC.pbix,Сторінка 1,9c2ca8609d2ba888574a,Category,1
DimDates,DateNormal,ABC.pbix,Сторінка 1,9c2ca8609d2ba888574a,Y,1
DimDates,DateNormal,ABC.pbix,Сторінка 1,b4b5c0dd89116c6c38a1,Values,1
MainSupplier,MainSupplierName,ABC.pbix,Сторінка 1,9bcc165a61edbe2d3840,Rows,1
Organizations,Name,ABC.pbix,Сторінка 1,3cc499a95a5e1a856b35,Values,1
ProductsExtended,FullName,ABC.pbix,Сторінка 1,9bcc165a61edbe2d3840,Rows,1
ProductsExtended,MainSupplierName,ABC.pbix,Сторінка 1,11a8268da6ea66fc1928,Values,1
ProductsExtended,MainSupplierName,ABC.pbix,Сторінка 1,9bcc165a61edbe2d3840,Columns,1
ProductsExtended,MainSupplierName,ABC.pbix,Сторінка 1,9bcc165a61edbe2d3840,Rows,1
ProductsExtended,MainSupplierName,ABC.pbix,Сторінка 1,9bcc165a61edbe2d3840,Values,1
Territories,Name,ABC.pbix,Сторінка 1,46bfbd04c7e24e075405,Values,1
Warehouses,Name,ABC.pbix,Сторінка 1,f2eef627c960eb89727e,Values,1
