Table,Col/Measure,Report Name,Page Name,Selection Pane Name,QueryRefType,Data Element Count
,,Виконання планів продажу Ferrero.pbix,Ferrero,"'Продажі за поточний рік, грн з ПДВ'",Filterf74717c6ecbe06965f2c,1
[Role,Columns],Виконання планів продажу Ferrero.pbix,Продажі по типах складів,'ГРН',Rows,2
[Role,Columns],Виконання планів продажу Ferrero.pbix,Продажі по типах складів,'ГРН',Values,2
[Role,Columns],Виконання планів продажу Ferrero.pbix,TOП Клієнтів по ТА,0021eacc0d223e7470c9,Rows,2
[Role,Columns],Виконання планів продажу Ferrero.pbix,TOП Клієнтів по ТА,0021eacc0d223e7470c9,Values,2
[Role,Columns],Виконання планів продажу Ferrero.pbix,TOП Клієнтів по ТА,bece3aa81fff63dfcf4b,Rows,2
[Role,Columns],Виконання планів продажу Ferrero.pbix,TOП Клієнтів по ТА,bece3aa81fff63dfcf4b,Values,2
[Role,Columns],Виконання планів продажу Ferrero.pbix,TOП SKU по ТА,0021eacc0d223e7470c9,Rows,2
[Role,Columns],Виконання планів продажу Ferrero.pbix,TOП SKU по ТА,0021eacc0d223e7470c9,Values,2
[Role,Columns],Виконання планів продажу Ferrero.pbix,TOП SKU по ТА,bece3aa81fff63dfcf4b,Rows,2
[Role,Columns],Виконання планів продажу Ferrero.pbix,TOП SKU по ТА,bece3aa81fff63dfcf4b,Values,2
Contractors,Name,Виконання планів продажу Ferrero.pbix,TOП Клієнтів по ТА,0021eacc0d223e7470c9,Rows,1
Contractors,Name,Виконання планів продажу Ferrero.pbix,TOП Клієнтів по ТА,32f1336495eeee9381cd,Filter,1
Contractors,Name,Виконання планів продажу Ferrero.pbix,TOП Клієнтів по ТА,32f1336495eeee9381cd,Values,1
Contractors,Name,Виконання планів продажу Ferrero.pbix,TOП Клієнтів по ТА,bece3aa81fff63dfcf4b,Rows,1
DeliveryAddresses,Name,Виконання планів продажу Ferrero.pbix,TOП Клієнтів по ТА,0021eacc0d223e7470c9,Rows,1
DimDates,DateNormal,Виконання планів продажу Ferrero.pbix,Ferrero,"'Продажі за поточний рік, грн з ПДВ'",Filter1,1
DimDates,DateNormal,Виконання планів продажу Ferrero.pbix,Виконання планів продажу,617daf469a9ed9a8b76f,Filter97e12f5d88399a106a20,1
DimDates,DateNormal,Виконання планів продажу Ferrero.pbix,Продажі в кг,2233824c56c8dcbc03f0,Filter97e12f5d88399a106a20,1
DimDates,DateNormal,Виконання планів продажу Ferrero.pbix,АКБ,7b30bff7e569150466fd,Filter97e12f5d88399a106a20,1
DimDates,DateNormal,Виконання планів продажу Ferrero.pbix,Залишки ВЕН,617daf469a9ed9a8b76f,Filter97e12f5d88399a106a20,1
