Table,Col/Measure,Report Name,Page Name,Selection Pane Name,QueryRefType,Data Element Count
Clients,Вид напрямку продаж,Виконання планів продажу.pbix,Контракт,'за групою клієнтів',Category,1
Comands,ЕТА/МІКС/Хорека,Виконання планів продажу.pbix,Контракт,'група команд',Category,1
Comands,СТ/ТТ/Хорека по командах,Виконання планів продажу.pbix,Контракт,'за групою ТА',Category,1
DimDates,Місяць,Виконання планів продажу.pbix,Контракт,e6452a12206d061e0850,Category,1
DimDates,Рік,Виконання планів продажу.pbix,Контракт,86db0041dbe4e6b1a851,Values,1
Organizations,Організації,Виконання планів продажу.pbix,Контракт,6ff1b451310107131960,Category,1
PlaneOfSales,Сума план продажу (з ПДВ,Виконання планів продажу.pbix,Контракт,'Поточний місяць (прогноз)',Rows,1
PlaneOfSales,Сума план продажу (з ПДВ,Виконання планів продажу.pbix,Контракт,'Поточний місяць (прогноз)',Values,1
Projects,Контракт,Виконання планів продажу.pbix,Контракт,5703265cb0e9f263b88d,Filter590d3e8a701d677276aa,1
Projects,Контракт,Виконання планів продажу.pbix,Контракт,5703265cb0e9f263b88d,Values,1
Projects,Контракт,Виконання планів продажу.pbix,Контракт,'Поточний місяць (прогноз)',Filter58c8582151b15073ec9e,1
Projects,Контракт,Виконання планів продажу.pbix,Контракт,'Поточний місяць (прогноз)',Rows,1
Sales,Ф1/Ф2,Виконання планів продажу.pbix,Контракт,b6f5140575ad7a6c4adc,Category,1
SalesDet,% виконання плану продажу на основі прогнозу місяця,Виконання планів продажу.pbix,Контракт,'Поточний місяць (прогноз)',Rows,1
SalesDet,% виконання плану продажу на основі прогнозу місяця,Виконання планів продажу.pbix,Контракт,'Поточний місяць (прогноз)',Values,1
SalesDet,Покриття АТТ,Виконання планів продажу.pbix,Контракт,'Поточний місяць (прогноз)',Rows,1
SalesDet,Покриття АТТ,Виконання планів продажу.pbix,Контракт,'Поточний місяць (прогноз)',Values,1
SalesDet,Прогноз продажу в поточному місяці,Виконання планів продажу.pbix,Контракт,'Поточний місяць (прогноз)',Rows,1
SalesDet,Прогноз продажу в поточному місяці,Виконання планів продажу.pbix,Контракт,'Поточний місяць (прогноз)',Values,1
SalesDet,Сума продаж (без ПДВ,Виконання планів продажу.pbix,Контракт,'Поточний місяць (прогноз)',Rows,1
SalesDet,Сума продаж (без ПДВ,Виконання планів продажу.pbix,Контракт,'Поточний місяць (прогноз)',Values,1
SalesDet,Сума продаж (з ПДВ,Виконання планів продажу.pbix,Контракт,'Поточний місяць (прогноз)',Rows,1
SalesDet,Сума продаж (з ПДВ,Виконання планів продажу.pbix,Контракт,'Поточний місяць (прогноз)',Values,1
Teritories,Підрозділи,Виконання планів продажу.pbix,Контракт,7e323d34e5b47e8060dc,Category,1
Teritories,Територія,Виконання планів продажу.pbix,Контракт,'Поточний місяць (прогноз)',Rows,1
