Table,Col/Measure,Report Name,Page Name,Selection Pane Name,QueryRefType,Data Element Count
,,Збори Менеджерів.pbix,plan/actual,6c1b796fa2233c760ac4,Filter,2
BUs,BU,Збори Менеджерів.pbix,plan/actual,'% Execution',Columns,1
BUs,BU,Збори Менеджерів.pbix,plan/actual,'% Execution',Values,1
DimDates,DateNormal,Збори Менеджерів.pbix,Stocks / Залишки,'Sales period',Values,1
DimDates,DateNormal,Збори Менеджерів.pbix,plan/actual,2828dd68ab594898b49b,Filter,1
DimDates,DateNormal,Збори Менеджерів.pbix,plan/actual,e2d1611d09202d1cc2cc,Filter,1
DimDates,Dates.MonthName,Збори Менеджерів.pbix,Increase / Приріст продаж,'Net Sales Value (UAH VAT inc) / Сума продаж (ГРН з ПДВ)',Category,1
DimDates,Dates.MonthName,Збори Менеджерів.pbix,Increase / Приріст продаж,'Net Sales Value (UAH VAT inc) / Сума продаж (ГРН з ПДВ)',Y,1
DimDates,Dates.MonthName,Збори Менеджерів.pbix,Increase / Приріст продаж,'Volume (kg) / Вага (кг)',Category,1
DimDates,Dates.MonthName,Збори Менеджерів.pbix,plan/actual,'% Execution',Columns,1
DimDates,Dates.MonthName,Збори Менеджерів.pbix,plan/actual,'% Execution',Values,1
DimDates,Dates.YearNumber,Збори Менеджерів.pbix,Increase / Приріст продаж,'Net Sales Value (UAH VAT inc) / Сума продаж (ГРН з ПДВ)',Category,1
DimDates,Dates.YearNumber,Збори Менеджерів.pbix,Increase / Приріст продаж,'Net Sales Value (UAH VAT inc) / Сума продаж (ГРН з ПДВ)',Y,1
DimDates,Dates.YearNumber,Збори Менеджерів.pbix,Increase / Приріст продаж,'Volume (kg) / Вага (кг)',Category,1
DimDates,MonthName,Збори Менеджерів.pbix,Increase / Приріст продаж,0f533f4fe2bdff2cdc30,Values,1
DimDates,MonthName,Збори Менеджерів.pbix,Increase / Приріст продаж,'Increase Net Sales Value (%) / Приріст продаж',Columns,1
DimDates,MonthName,Збори Менеджерів.pbix,KPI / Ключові показники,f0afb08360a2d80602c9,Values,1
DimDates,MonthName,Збори Менеджерів.pbix,KPI / Ключові показники,'Key performance indicators / Ключові показники',Columns,1
DimDates,MonthName,Збори Менеджерів.pbix,plan/actual,2b33cafd04742363d45d,Values,1
DimDates,YearNumber,Збори Менеджерів.pbix,Increase / Приріст продаж,a22317b9ed4cd03b6850,Values,1
DimDates,YearNumber,Збори Менеджерів.pbix,KPI / Ключові показники,70a55d8fdc7326888cd0,Values,1
DimDates,YearNumber,Збори Менеджерів.pbix,KPI / Ключові показники,'Key performance indicators / Ключові показники',Columns,1
DimDates,YearNumber,Збори Менеджерів.pbix,plan/actual,b222f88bde026b1d9db3,Values,1
Operational_Planning,Виконання операційного плану продаж,Збори Менеджерів.pbix,plan/actual,'% Execution',Values,2
Operational_Planning,Виконання операційного плану продаж,Збори Менеджерів.pbix,plan/actual,'% Execution by Brand',Values,1
Operational_Planning,Операціний план,Збори Менеджерів.pbix,plan/actual,'% Execution',Values,2
Operational_Planning,Операціний план,Збори Менеджерів.pbix,plan/actual,'% Execution by Brand',Values,1
Organizations,Name,Збори Менеджерів.pbix,Increase / Приріст продаж,87eaf7987daa73d1527e,Values,1
Organizations,Name,Збори Менеджерів.pbix,KPI / Ключові показники,a2e7d1fab010cc003707,Values,1
Organizations,Name,Збори Менеджерів.pbix,Stocks / Залишки,00f4540f489fbc133350,Values,1
Organizations,Name,Збори Менеджерів.pbix,Stocks / Залишки,30635abb6bc9069a3e9e,Values,1
Organizations,Name,Збори Менеджерів.pbix,plan/actual,126535ef3a11a66a2cd8,Values,1
Organizations,Name,Збори Менеджерів.pbix,Sales_tooltip_Org_Ter_,'Net Sales Value by Organization',Category,1
ProductsExtended,BU,Збори Менеджерів.pbix,Increase / Приріст продаж,498f5a2e500d6a8c3594,Filter,1
ProductsExtended,BU,Збори Менеджерів.pbix,Increase / Приріст продаж,498f5a2e500d6a8c3594,Values,1
ProductsExtended,BU,Збори Менеджерів.pbix,Increase / Приріст продаж,'Net Sales Value (UAH VAT inc) by BU / Сума продаж по Бізнесах',Category,1
ProductsExtended,BU,Збори Менеджерів.pbix,KPI / Ключові показники,2524436eb0eab167b376,Filter,1
ProductsExtended,BU,Збори Менеджерів.pbix,KPI / Ключові показники,2524436eb0eab167b376,Values,1
ProductsExtended,BU,Збори Менеджерів.pbix,KPI / Ключові показники,'Key performance indicators by BU/ Ключові показники по Бізнесах',Columns,1
ProductsExtended,BU,Збори Менеджерів.pbix,KPI / Ключові показники,'Key performance indicators by BU/ Ключові показники по Бізнесах',Values,1
ProductsExtended,BU,Збори Менеджерів.pbix,Stocks / Залишки,5637e161100b302b5066,Values,1
