Table,Col/Measure,Report Name,Page Name,Selection Pane Name,QueryRefType,Data Element Count
,,Продажі (SKU).pbix,Debt,da20210020f6dc95bfd7,Filter,2
,,Продажі (SKU).pbix,plan/actual,6c1b796fa2233c760ac4,Filter,2
Agreements,PaymentType,Продажі (SKU).pbix,Debt,d17a9051724d2cc7fe77,Values,1
Brands,Name,Продажі (SKU).pbix,plan/actual,'% Execution by Brand',Columns,1
Brands,Name,Продажі (SKU).pbix,plan/actual,'% Execution by Brand',Values,1
BUs,BU,Продажі (SKU).pbix,Подажі (ТА/Бренд/Товар),4468665e866649e50635,Values,1
BUs,BU,Продажі (SKU).pbix,Increase,498f5a2e500d6a8c3594,Values,1
BUs,BU,Продажі (SKU).pbix,plan/actual,'% Execution',Columns,1
BUs,BU,Продажі (SKU).pbix,plan/actual,'% Execution',Values,1
BUs,BU,Продажі (SKU).pbix,plan/actual,4468665e866649e50635,Values,1
BUs,BU,Продажі (SKU).pbix,Подажі (Контрагент/АД),4468665e866649e50635,Values,1
BUs,BU,Продажі (SKU).pbix,forB2B,4468665e866649e50635,Values,1
BUs,BU,Продажі (SKU).pbix,Продажі(Контрагенти/Дні),4468665e866649e50635,Values,1
BUs,BU,Продажі (SKU).pbix,Дубликат Contractors,4468665e866649e50635,Values,1
BUs,BU,Продажі (SKU).pbix,SKU,4468665e866649e50635,Values,1
Contractors,Name,Продажі (SKU).pbix,Debt,'% Execution',Rows,1
Contractors,Name,Продажі (SKU).pbix,Debt,'% Execution',Values,1
Contractors,Name,Продажі (SKU).pbix,Подажі (Контрагент/АД),'% Execution',Rows,1
Contractors,Name,Продажі (SKU).pbix,Подажі (Контрагент/АД),'% Execution',Values,1
Contractors,Name,Продажі (SKU).pbix,Подажі (Контрагент/АД),'Бренд',Category,1
Contractors,Name,Продажі (SKU).pbix,Подажі (Контрагент/АД),'Бренд',Series,1
Contractors,Name,Продажі (SKU).pbix,Подажі (Контрагент/АД),'Контрагент',Category,1
Contractors,Name,Продажі (SKU).pbix,forB2B,'% Execution',Rows,1
Contractors,Name,Продажі (SKU).pbix,forB2B,'% Execution',Values,1
Contractors,Name,Продажі (SKU).pbix,forB2B,'Контрагент',Category,1
Contractors,Name,Продажі (SKU).pbix,forB2B,'Контрагент',Series,1
Contractors,Name,Продажі (SKU).pbix,Продажі(Контрагенти/Дні),'% Execution',Rows,1
Contractors,Name,Продажі (SKU).pbix,Дубликат Contractors,'Contractor',Category,1
Debts,% Overdue Debt,Продажі (SKU).pbix,Debt,'% Execution',Values,2
Debts,% Overdue Debt,Продажі (SKU).pbix,Debt,d17a9051724d2cc7fe77,Values,1
Debts,Debt (UAH,Продажі (SKU).pbix,Debt,'% Execution',Values,2
Debts,Debt (UAH,Продажі (SKU).pbix,Debt,d17a9051724d2cc7fe77,Values,1
Debts,Overdue Days (period,Продажі (SKU).pbix,Debt,da20210020f6dc95bfd7,Values,1
