Table,Col/Measure,ReportName,Page Name,name,Page Filter Count
,,Виконавчий план Теорія.pbix,TOП Клієнтів по ТА,Filter49a838434d53db8e29a1,1
,,Виконавчий план Теорія.pbix,S-OUT історія (місяць)(грн),Filter49a838434d53db8e29a1,1
,,Виконавчий план Теорія.pbix,S-OUT історія (місяць)(грн без пдв),Filter49a838434d53db8e29a1,1
,,Виконавчий план Теорія.pbix,S-OUT історія (місяць)(кг),Filter49a838434d53db8e29a1,1
,,Виконавчий план Теорія.pbix,S-OUT історія (період)(грн),Filter49a838434d53db8e29a1,1
,,Виконавчий план Теорія.pbix,S-OUT історія (період)(грн без пдв),Filter49a838434d53db8e29a1,1
,,Виконавчий план Теорія.pbix,S-OUT історія (період)(кг),Filter49a838434d53db8e29a1,1
,,Виконавчий план Теорія.pbix,S-OUT історія деталізац(період),Filter49a838434d53db8e29a1,1
,,Виконавчий план Теорія.pbix,Надані знижки (історія),Filter49a838434d53db8e29a1,1
Warehouses,тип складу (bic),Виконавчий план Теорія.pbix,Залишки ВЕН,Filterd3758546f8dbd8ea34c2,1
