Table,Col/Measure,ReportName,Page Name,name,Page Filter Count
Agents,Торгові представники,Залишки та закупки.pbix,Залишки в періоді,Filter2,1
Agents,Торгові представники,Залишки та закупки.pbix,Залишки по контрактах,Filter2,1
Agents,Торгові представники,Залишки та закупки.pbix,Залишки по регіонах,Filter2,1
Agents,Торгові представники,Залишки та закупки.pbix,Обертовість залишків по контрактах,Filter2,1
Agents,Торгові представники,Залишки та закупки.pbix,Залишки по категоріях,Filter2,1
Agents,Торгові представники,Залишки та закупки.pbix,Аналіз закупок,Filter2,1
Agents,Торгові представники,Залишки та закупки.pbix,Залишки поденно,Filter2,1
Agents,Торгові представники,Залишки та закупки.pbix,"Повтор розділу ""Залишки по номенклатурі""",Filter2,1
Clients,ClientGroup1,Залишки та закупки.pbix,Залишки по регіонах,Filterc378d500e0ac247a5e3a,1
Comands,Команди,Залишки та закупки.pbix,Залишки в періоді,Filter1,1
Comands,Команди,Залишки та закупки.pbix,Залишки по контрактах,Filter1,1
Comands,Команди,Залишки та закупки.pbix,Залишки по регіонах,Filter1,1
Comands,Команди,Залишки та закупки.pbix,Обертовість залишків по контрактах,Filter1,1
Comands,Команди,Залишки та закупки.pbix,Залишки по категоріях,Filter1,1
Comands,Команди,Залишки та закупки.pbix,Аналіз закупок,Filter1,1
Comands,Команди,Залишки та закупки.pbix,Залишки поденно,Filter1,1
Comands,Команди,Залишки та закупки.pbix,"Повтор розділу ""Залишки по номенклатурі""",Filter1,1
Warehouses,Склади,Залишки та закупки.pbix,Залишки в періоді,Filter,1
Warehouses,Склади,Залишки та закупки.pbix,Залишки по контрактах,Filter,1
Warehouses,Склади,Залишки та закупки.pbix,Залишки по регіонах,Filter,1
Warehouses,Склади,Залишки та закупки.pbix,Обертовість залишків по контрактах,Filter,1
Warehouses,Склади,Залишки та закупки.pbix,Залишки по категоріях,Filter,1
Warehouses,Склади,Залишки та закупки.pbix,Аналіз закупок,Filter,1
Warehouses,Склади,Залишки та закупки.pbix,Залишки поденно,Filter,1
Warehouses,Склади,Залишки та закупки.pbix,"Повтор розділу ""Залишки по номенклатурі""",Filter,1
